system,language,granularity,ref_grade,ref_clusters,ref_entities,axis,technique,metric,value,projection,source,tier
opencv,cpp,file,GT-doc,14,1087,A1,+L2,edges,9,edge-vs-full,rq3-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A1,+L3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A1,+L3,edges,9,edge-vs-full,rq3-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A1,L0,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A1,L0,edges,9,edge-vs-full,rq3-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A1,L0+L1,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
opencv,cpp,file,GT-doc,14,1087,A1,L0+L1,edges,9,edge-vs-full,rq3-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A1,+L2,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A1,+L2,edges,72,edge-vs-full,rq3-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A1,+L3,edge_f1,1.0,edge-vs-full,rq3-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A1,+L3,edges,72,edge-vs-full,rq3-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A1,L0,edge_f1,0.9859,edge-vs-full,rq3-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A1,L0,edges,70,edge-vs-full,rq3-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A1,L0+L1,edge_f1,0.9859,edge-vs-full,rq3-ablation.json,oss
orchardcore,cs,target,GT-doc,34,207,A1,L0+L1,edges,70,edge-vs-full,rq3-ablation.json,oss
P-1,cpp,file,GT-diag,28,50-100,A2,dir_leaf,a2a,86.91,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_leaf,clusters,93.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_leaf,mojofm,90.47,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_top,a2a,84.28,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_top,clusters,5.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,dir_top,mojofm,37.13,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,edge_cc,a2a,79.08,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,edge_cc,clusters,17.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,edge_cc,mojofm,13.23,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,hand_curation,a2a,100.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,hand_curation,clusters,27.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,hand_curation,mojofm,100.0,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,none,a2a,93.72,common-a2,a2-ablation.json,P
P-1,cpp,file,GT-diag,28,50-100,A2,none,clusters,49.0,common-a2,a2-ablation.json,P
